Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
24.1389999999999,102.503,7.5,1970,1,4,17,0,1
-9.628,151.458,6.2,1970,1,6,5,35,1
-34.741,178.568,6.1,1970,1,8,17,12,1
6.825,126.736999999999,6.1,1970,1,10,12,7,1
60.28,-152.66,6.0,1970,1,16,8,5,1
-25.8,-177.348999999999,6.5,1970,1,20,7,19,1
42.518999999999906,142.966,6.4,1970,1,20,17,33,1
7.017,-104.298,6.6,1970,1,21,17,51,1
-12.579,166.37,6.4,1970,1,26,10,1,1
15.532,-99.48399999999991,6.5,1970,2,4,5,8,1
12.598,122.117,6.6,1970,2,5,22,5,1
23.096,100.775,6.1,1970,2,6,22,10,1
30.576,103.031,6.0,1970,2,24,2,7,1
50.13,-179.5898,6.0,1970,2,27,7,7,1
52.589799999999904,-175.039999999999,6.1,1970,2,28,10,52,1
12.134,143.706999999999,6.2,1970,3,4,3,30,1
-19.0079999999999,168.603,6.5,1970,3,9,16,1,1
44.798,148.87,6.0,1970,3,10,4,58,1
57.39,-153.97,6.5,1970,3,11,22,38,1
-29.6529999999999,-69.49899999999991,6.0,1970,3,15,12,39,1
51.34,173.75,6.5,1970,3,19,23,33,1
-21.981,126.682,6.2,1970,3,24,10,35,1
0.37,119.349,6.7,1970,3,27,18,36,1
39.182,29.488,7.1,1970,3,28,21,2,1
-17.0659999999999,168.513,6.0,1970,3,29,10,8,1
-49.622,164.309,6.0,1970,3,30,20,40,1
15.7609999999999,121.717,7.3,1970,4,7,5,34,1
15.4339999999999,121.801,6.2,1970,4,8,21,23,1
59.71999999999991,-142.49,6.2,1970,4,11,4,5,1
15.064,122.052,7.0,1970,4,12,4,1,1
15.069,122.665,6.0,1970,4,15,13,14,1
59.84,-142.43,6.8,1970,4,16,5,33,1
59.6,-142.72,6.0,1970,4,19,1,15,1
-18.826,169.298,6.3,1970,4,20,10,39,1
14.618,-92.6899999999999,6.3,1970,4,29,11,22,1
14.518,-92.60299999999991,7.3,1970,4,29,14,1,1
14.698,-93.19199999999991,6.4,1970,4,30,8,32,1
-41.573,80.087,6.2,1970,5,4,18,53,1
43.03399999999991,47.088999999999906,6.5,1970,5,14,18,12,1
50.168999999999905,91.25199999999991,6.7,1970,5,15,17,13,1
-55.89,-28.3279999999999,6.0,1970,5,20,20,3,1
27.215,140.121,6.2,1970,5,27,12,5,1
40.304,142.986999999999,6.0,1970,5,27,19,5,1
-11.629,166.335,6.1,1970,5,29,19,2,1
-9.176,-78.82299999999991,7.8,1970,5,31,20,23,1
-9.79299999999999,-78.587,6.0,1970,5,31,20,45,1
-9.29599999999999,-79.0,6.0,1970,6,1,1,36,1
42.475,78.75799999999991,6.6,1970,6,5,4,53,1
-24.527,-68.49899999999991,6.3,1970,6,11,6,2,1
-59.113,157.767,7.2,1970,6,11,16,46,1
-2.887,139.096,6.1,1970,6,12,8,6,1
-51.954,-73.849,6.6,1970,6,14,0,0,1
-8.73,118.828,6.0,1970,6,15,9,41,1
