Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake,CountryLong,CountryShort,CityLong,CityShort
24.1389999999999,102.503,7.5,1970,1,4,17,0,1,China,CN,Yunnan,Yunnan
-9.628,151.458,6.2,1970,1,6,5,35,1,Papua New Guinea,PG,6R2H9FC5+Q5,6R2H9FC5+Q5
-34.741,178.568,6.1,1970,1,8,17,12,1,4VQW7H59+J5,4VQW7H59+J5,4VQW7H59+J5,4VQW7H59+J5
6.825,126.736999999999,6.1,1970,1,10,12,7,1,Philippines,PH,6QR8RPGP+2Q,6QR8RPGP+2Q
60.28,-152.66,6.0,1970,1,16,8,5,1,United States,US,Alaska,AK
-25.8,-177.348999999999,6.5,1970,1,20,7,19,1,52646M22+2C,52646M22+2C,52646M22+2C,52646M22+2C
42.51899999999991,142.966,6.4,1970,1,20,17,33,1,Japan,JP,Hokkaido,Hokkaido
7.017,-104.298,6.6,1970,1,21,17,51,1,65VQ2P82+QQ,65VQ2P82+QQ,65VQ2P82+QQ,65VQ2P82+QQ
-12.579,166.37,6.4,1970,1,26,10,1,1,Solomon Islands,SB,5VV8C9CC+C2,5VV8C9CC+C2
15.532,-99.48399999999992,6.5,1970,2,4,5,8,1,7672GGJ8+QC,7672GGJ8+QC,7672GGJ8+QC,7672GGJ8+QC
12.598,122.117,6.6,1970,2,5,22,5,1,Philippines,PH,MIMAROPA,MIMAROPA
23.096,100.775,6.1,1970,2,6,22,10,1,China,CN,Yunnan,Yunnan
30.576,103.031,6.0,1970,2,24,2,7,1,China,CN,Sichuan,Sichuan
50.13,-179.5898,6.0,1970,2,27,7,7,1,92224CH6+X3,92224CH6+X3,92224CH6+X3,92224CH6+X3
52.589799999999904,-175.039999999999,6.1,1970,2,28,10,52,1,United States,US,9246HXQ6+W2,9246HXQ6+W2
12.134,143.706999999999,6.2,1970,3,4,3,30,1,7R454PM4+JQ,7R454PM4+JQ,7R454PM4+JQ,7R454PM4+JQ
-19.0079999999999,168.603,6.5,1970,3,9,16,1,1,Vanuatu,VU,5VGCXJR3+R5,5VGCXJR3+R5
44.798,148.87,6.0,1970,3,10,4,58,1,8RPCQVXC+62,8RPCQVXC+62,8RPCQVXC+62,8RPCQVXC+62
57.39,-153.97,6.5,1970,3,11,22,38,1,United States,US,Alaska,AK
-29.6529999999999,-69.49899999999991,6.0,1970,3,15,12,39,1,Argentina,AR,San Juan Province,San Juan Province
51.34,173.75,6.5,1970,3,19,23,33,1,United States,US,9V3M8QR2+22,9V3M8QR2+22
-21.981,126.682,6.2,1970,3,24,10,35,1,Australia,AU,Western Australia,WA
0.37,119.349,6.7,1970,3,27,18,36,1,Indonesia,ID,6PGX98CX+2H,6PGX98CX+2H
39.182,29.488,7.1,1970,3,28,21,2,1,Türkiye,TR,Kütahya,Kütahya
-17.0659999999999,168.513,6.0,1970,3,29,10,8,1,Vanuatu,VU,WGM7+H6,WGM7+H6
-49.622,164.309,6.0,1970,3,30,20,40,1,4V2698H5+6H,4V2698H5+6H,4V2698H5+6H,4V2698H5+6H
15.7609999999999,121.717,7.3,1970,4,7,5,34,1,Philippines,PH,QP68+9Q,QP68+9Q
15.4339999999999,121.801,6.2,1970,4,8,21,23,1,Philippines,PH,7Q73CRM2+H9,7Q73CRM2+H9
59.71999999999991,-142.49,6.2,1970,4,11,4,5,1,United States,US,93FVPG96+X2,93FVPG96+X2
15.064,122.052,7.0,1970,4,12,4,1,1,Philippines,PH,3372+HR,3372+HR
15.069,122.665,6.0,1970,4,15,13,14,1,Philippines,PH,7Q743M98+J2,7Q743M98+J2
59.84,-142.43,6.8,1970,4,16,5,33,1,United States,US,93FVRHQ9+XX,93FVRHQ9+XX
59.6,-142.72,6.0,1970,4,19,1,15,1,United States,US,93FVH7XJ+X2,93FVH7XJ+X2
-18.826,169.298,6.3,1970,4,20,10,39,1,Vanuatu,VU,57FX+J6,57FX+J6
14.618,-92.6899999999999,6.3,1970,4,29,11,22,1,Mexico,MX,7669J896+52,7669J896+52
14.518,-92.60299999999992,7.3,1970,4,29,14,1,1,Mexico,MX,7669G99W+6R,7669G99W+6R
14.698,-93.19199999999992,6.4,1970,4,30,8,32,1,Mexico,MX,7668MRX5+56,7668MRX5+56
-41.573,80.087,6.2,1970,5,4,18,53,1,4MC2C3GP+QQ,4MC2C3GP+QQ,4MC2C3GP+QQ,4MC2C3GP+QQ
43.03399999999991,47.08899999999991,6.5,1970,5,14,18,12,1,Russia,RU,Republic of Dagestan,Republic of Dagestan
50.16899999999991,91.25199999999992,6.7,1970,5,15,17,13,1,Mongolia,MN,Uvs,Uvs
-55.89,-28.3279999999999,6.0,1970,5,20,20,3,1,South Georgia and the South Sandwich Islands,GS,39PH4M5C+XQ,39PH4M5C+XQ
27.215,140.121,6.2,1970,5,27,12,5,1,7RV2648C+29,7RV2648C+29,7RV2648C+29,7RV2648C+29
40.304,142.986999999999,6.0,1970,5,27,19,5,1,8RG48X3P+JQ,8RG48X3P+JQ,8RG48X3P+JQ,8RG48X3P+JQ
-11.629,166.335,6.1,1970,5,29,19,2,1,Solomon Islands,SB,5VW898CM+9X,5VW898CM+9X
-9.176,-78.82299999999991,7.8,1970,5,31,20,23,1,Peru,PE,6723R5FG+HR,6723R5FG+HR
-9.79299999999999,-78.587,6.0,1970,5,31,20,45,1,67236C47+Q5,67236C47+Q5,67236C47+Q5,67236C47+Q5
-9.29599999999999,-79.0,6.0,1970,6,1,1,36,1,6723P232+J2,6723P232+J2,6723P232+J2,6723P232+J2
42.475,78.75799999999991,6.6,1970,6,5,4,53,1,Kyrgyzstan,KG,Issyk-Kul Region,Issyk-Kul Region
-24.527,-68.49899999999991,6.3,1970,6,11,6,2,1,Chile,CL,Antofagasta,Antofagasta
-59.113,157.767,7.2,1970,6,11,16,46,1,3RGVVQP8+QQ,3RGVVQP8+QQ,3RGVVQP8+QQ,3RGVVQP8+QQ
-2.887,139.096,6.1,1970,6,12,8,6,1,Indonesia,ID,Papua,Papua
-51.954,-73.849,6.6,1970,6,14,0,0,1,Chile,CL,Magallanes and Chilean Antarctica,Magallanes and Chilean Antarctica
-8.73,118.828,6.0,1970,6,15,9,41,1,Indonesia,ID,Jalan Tanpa Nama,Jalan Tanpa Nama
-54.33599999999991,-63.645,7.0,1970,6,15,11,14,1,37QRM974+J2,37QRM974+J2,37QRM974+J2,37QRM974+J2
-22.193,-70.515,6.2,1970,6,19,10,56,1,Chile,CL,579FRF4M+RX,579FRF4M+RX
51.753,-131.024,7.0,1970,6,24,13,9,1,Canada,CA,British Columbia,BC
-7.916,158.693,6.1,1970,6,25,5,13,1,Solomon Islands,SB,3MMV+J5,3MMV+J5
-8.66,124.159,6.2,1970,6,28,1,30,1,Indonesia,ID,85R5+2H,85R5+2H
-51.034999999999904,139.486999999999,6.0,1970,7,2,0,56,1,3QWXXF8P+2Q,3QWXXF8P+2Q,3QWXXF8P+2Q,3QWXXF8P+2Q
